Company,Industry,Country
American Markets Titan,Industrial,UAE
Spacecorp Kwt,Aerospace,UK
Healthventure Arabian,Biotech,Kuwait
Oman Quantumenterprie,Software,UK
Global Enterprises Nexus,Logistics,Italy
(ltd.) Choice Motors,Retail,Spain
(bsc) Motors Gulf,Energy,Saudi Arabia
Britannia Vision Health,Media,UAE
Evocapital (plc),Automotive,Saudi Arabia
Britannia Futuredata,Tech,Oman
Kuwaiti Markets Choice,Consumer Goods,Ireland
(llc) Infraglobal,Utilities,Germany
London Globalsolution,Services,Spain
(nv) Data Cura,Pharma,UK
Websolution Kuwaiti,E-commerce,Kuwait
Britannia Data Global,Industrial,Saudi Arabia
London Spacesolution,Aerospace,France
Bahrain Pharma Energy,Biotech,UK
Codeglobal (ltd.),Software,Bahrain
Manama Cargomarket,Logistics,Netherlands
(ltd.) Primemarket,Retail,UK
Powerdynamic Oman,Energy,UK
Visiondynamic Uk,Media,UK
Doha Industries Apex,Automotive,UAE
London Industries Tech,Tech,UAE
(sa) Choice Corp,Consumer Goods,UK
(bsc) Infra Group,Utilities,UK
(inc.) Nexuslogitic,Services,Italy
(gmbh) Medicalab,Pharma,UK
Britannia Dynamics Go,E-commerce,UK
Coreenterprie Us-,Industrial,Ireland
Spacesytem Global,Aerospace,UK
Gulf Enterprises Gen,Biotech,UAE
Global Data Capital,Software,Oman
Cargomotor Euro,Logistics,Bahrain
(plc) Goodsenterprie,Retail,Bahrain
(ltd.) Voltmotor,Energy,UAE
Britannia Echomotor,Media,USA
Kwt Drivecorp,Automotive,Oman
Gulf Omni Systems,Tech,Kuwait
Qualitylogitic Muscat,Consumer Goods,UK
Us- Aqua Capital,Utilities,UK
Riyadh Omnitechnologie,Services,Kuwait
Paris Geneenterprie,Pharma,UK
Martcorp Britannia,E-commerce,USA
Titantechnologie Gulf,Industrial,UK
Celtic Sky Enterprises,Aerospace,Oman
Us- Global Health,Biotech,UK
Microholding Dublin,Software,UK
France Ship Ventures,Logistics,Kuwait
(inc.) Corp Prime,Retail,Qatar
Petroenterprie Iberia,Energy,Bahrain
(qfc) Solutions Play,Media,USA
Italian Motor Solutions,Automotive,UAE
(ksc) Industries Omni,Tech,Saudi Arabia
Gulf Data Fresh,Consumer Goods,UK
Metrodata (nv),Utilities,Kuwait
Apexlogitic British,Services,UK
Dubai Gene Global,Pharma,UAE
Britannia Markets Click,E-commerce,Kuwait
Coreventure Muscat,Industrial,Spain
(ltd.) Dynamic Global,Aerospace,Oman
Curalogitic Doha,Biotech,Spain
Ksa Sysventure,Software,Saudi Arabia
Manama Energy Nexus,Logistics,Saudi Arabia
Primedynamic (ksc),Retail,UK
Gulfsytem Doha,Energy,Italy
Buzzgroup (ltd.),Media,Saudi Arabia
Madrid Apexindutrie,Automotive,France
Techglobal Us,Tech,Ireland
(nv) Crestcorp,Consumer Goods,Qatar
Terragroup (llc),Utilities,UK
(saog) Apex Industries,Services,UK
Jeddah Nova Group,Pharma,UK
Uk Prime Health,E-commerce,Netherlands
Qatari Titan Capital,Industrial,Oman
Lagos Horizon Energy,Energy,Nigeria
Niger Delta BioHealth,Biotech,Nigeria
Abuja Quantum Logistics,Logistics,Nigeria
Khartoum Desert Industries,Industrial,Sudan
Nile Frontier Agritech,Tech,Sudan
Cape Stellar Retail,Retail,South Africa
Johannesburg Fintech Nexus,Software,South Africa
Durban Green Utilities,Utilities,South Africa
Rio Nova Consumer,Consumer Goods,Brazil
Amazonia Agro Ventures,Services,Brazil
Sao Paulo Data Systems,Software,Brazil
Mumbai NextGen Pharma,Pharma,India
Bangalore Aero Dynamics,Aerospace,India
Chennai Solar Holdings,Energy,India
Delhi Quantum Services,Services,India
Karachi Harbor Logistics,Logistics,Pakistan
Islamabad Precision Tech,Tech,Pakistan
Toronto Arctic Capital,Services,Canada
Vancouver Coastal Energy,Energy,Canada
Montreal Quantum Medics,Biotech,Canada
