GlobalCorp_001,Milan Aviaenergy
GlobalCorp_069,Cyberdynamic Uk
GlobalCorp_070,Gulf Choicelab
GlobalCorp_071,Muscat Metrologitic
GlobalCorp_072,Arabian Systems Apex
GlobalCorp_073,Healthdata Irish
GlobalCorp_074,Muscat Markets Click
GlobalCorp_075,American Markets Titan
GlobalCorp_076,Spacecorp Kwt
GlobalCorp_077,Healthventure Arabian
GlobalCorp_078,Oman Quantumenterprie
GlobalCorp_079,Global Enterprises Nexus
GlobalCorp_080,(ltd.) Choice Motors
GlobalCorp_081,(bsc) Motors Gulf
GlobalCorp_082,Britannia Vision Health
GlobalCorp_083,Evocapital (plc)
GlobalCorp_084,Britannia Futuredata
GlobalCorp_085,Kuwaiti Markets Choice
GlobalCorp_086,(llc) Infraglobal
GlobalCorp_087,London Globalsolution
GlobalCorp_088,(nv) Data Cura
GlobalCorp_089,Websolution Kuwaiti
GlobalCorp_090,Britannia Data Global
GlobalCorp_091,London Spacesolution
GlobalCorp_092,Bahrain Pharma Energy
GlobalCorp_093,Codeglobal (ltd.)
GlobalCorp_094,Manama Cargomarket
GlobalCorp_095,(ltd.) Primemarket
GlobalCorp_096,Powerdynamic Oman
GlobalCorp_097,Visiondynamic Uk
GlobalCorp_098,Doha Industries Apex
GlobalCorp_099,London Industries Tech
GlobalCorp_100,(sa) Choice Corp
GlobalCorp_101,(bsc) Infra Group
GlobalCorp_102,(inc.) Nexuslogitic
GlobalCorp_103,(gmbh) Medicalab
GlobalCorp_104,Britannia Dynamics Go
GlobalCorp_105,Coreenterprie Us-
GlobalCorp_106,Spacesytem Global
GlobalCorp_107,Gulf Enterprises Gen
GlobalCorp_108,Global Data Capital
GlobalCorp_109,Cargomotor Euro
GlobalCorp_110,(plc) Goodsenterprie
GlobalCorp_111,(ltd.) Voltmotor
GlobalCorp_112,Britannia Echomotor
GlobalCorp_113,Kwt Drivecorp
GlobalCorp_114,Gulf Omni Systems
GlobalCorp_115,Qualitylogitic Muscat
GlobalCorp_116,Us- Aqua Capital
GlobalCorp_117,Riyadh Omnitechnologie
GlobalCorp_118,Paris Geneenterprie
GlobalCorp_119,Martcorp Britannia
GlobalCorp_120,Titantechnologie Gulf
GlobalCorp_121,Celtic Sky Enterprises
GlobalCorp_122,Us- Global Health
GlobalCorp_123,Microholding Dublin
GlobalCorp_124,France Ship Ventures
GlobalCorp_125,(inc.) Corp Prime
GlobalCorp_126,Petroenterprie Iberia
GlobalCorp_127,(qfc) Solutions Play
GlobalCorp_128,Italian Motor Solutions
GlobalCorp_129,(ksc) Industries Omni
GlobalCorp_130,Gulf Data Fresh
GlobalCorp_131,Metrodata (nv)
GlobalCorp_132,Apexlogitic British
GlobalCorp_133,Dubai Gene Global
GlobalCorp_134,Britannia Markets Click
GlobalCorp_135,Coreventure Muscat
GlobalCorp_136,(ltd.) Dynamic Global
GlobalCorp_137,Curalogitic Doha
GlobalCorp_138,Ksa Sysventure
GlobalCorp_139,Manama Energy Nexus
GlobalCorp_140,Primedynamic (ksc)
GlobalCorp_141,Gulfsytem Doha
GlobalCorp_142,Buzzgroup (ltd.)
GlobalCorp_143,Madrid Apexindutrie
GlobalCorp_144,Techglobal Us
GlobalCorp_145,(nv) Crestcorp
GlobalCorp_146,Terragroup (llc)
GlobalCorp_147,(saog) Apex Industries
GlobalCorp_148,Jeddah Nova Group
GlobalCorp_149,Uk Prime Health
GlobalCorp_150,Qatari Titan Capital
