Company,Month,Revenue,COGS,Gross_Profit,Gross_Margin_%,SG&A,R&D,Operating_Income_(EBIT),Interest_Expense,Tax_Expense,Net_Income,Assets,Debt,Equity,ROE_%,ROA_%,Debt/EBITDA,Debt/Equity
Milan Aviaenergy,2023-05-31,1435733,867988,567744,39.54,241370,153132,173241,90510,38113,44617,7515400,4503823,3011576,1.48,0.59,25.99,1.5
Milan Aviaenergy,2023-06-30,1487604,891325,596279,40.08,238831,162359,195088,94555,42919,57613,7608332,4547721,3060610,1.88,0.76,23.31,1.49
Milan Aviaenergy,2023-07-31,1392709,845061,547648,39.32,238439,149499,159708,95500,35135,29072,7552362,4566430,2985931,0.97,0.38,28.59,1.53
Milan Aviaenergy,2023-08-31,1463385,861151,602234,41.15,262110,148499,191624,96202,42157,53264,7512610,4525315,2987294,1.78,0.71,23.62,1.51
Milan Aviaenergy,2023-09-30,1376707,832697,544010,39.52,223656,131887,188465,94026,41462,52976,7582996,4549999,3032996,1.75,0.7,24.14,1.5
Milan Aviaenergy,2023-10-31,1504968,912482,592486,39.37,249067,158877,184540,93649,40598,50292,7548340,4492944,3055395,1.65,0.67,24.35,1.47
Milan Aviaenergy,2023-11-30,1431426,864894,566532,39.58,227446,156887,182197,88821,40083,53292,7580263,4497396,3082866,1.73,0.7,24.68,1.46
Milan Aviaenergy,2023-12-31,1470290,897538,572752,38.96,235146,156985,180620,95548,39736,45335,7516797,4585976,2930821,1.55,0.6,25.39,1.56
Milan Aviaenergy,2024-01-31,1497346,906616,590730,39.45,249421,169459,171849,91312,37806,42729,7581379,4513164,3068214,1.39,0.56,26.26,1.47
Milan Aviaenergy,2024-02-29,1491431,898280,593150,39.77,235948,151927,205275,90966,45160,69148,7654860,4541071,3113789,2.22,0.9,22.12,1.46
Milan Aviaenergy,2024-03-31,1456680,891084,565595,38.83,246663,163674,155257,94629,34156,26471,7595602,4595781,2999821,0.88,0.35,29.6,1.53
Milan Aviaenergy,2024-04-30,1462659,869189,593469,40.57,247603,151145,194720,88377,42838,63504,7615635,4524033,3091601,2.05,0.83,23.23,1.46
Milan Aviaenergy,2024-05-31,1483996,909729,574267,38.7,264655,154862,154748,90377,34044,30326,7595460,4528513,3066947,0.99,0.4,29.26,1.48
Milan Aviaenergy,2024-06-30,1400050,847695,552355,39.45,225251,135972,191130,87704,42048,61377,7644447,4552019,3092428,1.98,0.8,23.81,1.47
Milan Aviaenergy,2024-07-31,1470028,878971,591056,40.21,251890,170650,168515,91518,37073,39923,7641382,4539398,3101984,1.29,0.52,26.94,1.46
Milan Aviaenergy,2024-08-31,1401516,840533,560982,40.03,236844,155421,168716,88532,37117,43065,7610752,4601309,3009442,1.43,0.57,27.27,1.53
Milan Aviaenergy,2024-09-30,1479417,882656,596760,40.34,235269,145317,216173,93149,47558,75465,7529658,4557618,2972039,2.54,1.0,21.08,1.53
Milan Aviaenergy,2024-10-31,1378479,836107,542371,39.35,229897,146339,166134,93447,36549,36137,7623525,4565672,3057852,1.18,0.47,27.48,1.49
Milan Aviaenergy,2024-11-30,1534466,927682,606783,39.54,255730,164734,186318,93160,40990,52167,7587443,4492897,3094546,1.69,0.69,24.11,1.45
Milan Aviaenergy,2024-12-31,1393446,842764,550682,39.52,239105,148465,163111,93657,35884,33569,7581082,4516214,3064868,1.1,0.44,27.69,1.47
Gulf Healthmarket,2022-01-31,962529,208045,754484,78.39,269742,183573,301168,50936,66256,183975,5013502,1999842,3013660,6.1,3.67,6.64,0.66
Gulf Healthmarket,2022-02-28,973104,215473,757630,77.86,288080,198497,271052,48063,59631,163358,5000639,2000277,3000362,5.44,3.27,7.38,0.67
Gulf Healthmarket,2022-03-31,941407,203667,737740,78.37,267726,171863,298149,46719,65592,185837,4917464,1983286,2934177,6.33,3.78,6.65,0.68
Gulf Healthmarket,2022-04-30,982371,211293,771078,78.49,271586,199274,300217,48864,66048,185305,5020244,2024427,2995816,6.19,3.69,6.74,0.68
Gulf Healthmarket,2022-05-31,965343,213800,751542,77.85,266520,205113,279908,49039,61579,169288,4960150,1988035,2972114,5.7,3.41,7.1,0.67
Gulf Healthmarket,2022-06-30,935257,203373,731884,78.25,268780,177591,285512,49884,62812,172814,4977124,1986868,2990256,5.78,3.47,6.96,0.66
Gulf Healthmarket,2022-07-31,932907,199777,733130,78.59,268505,186573,278051,50627,61171,166253,5011434,2008651,3002783,5.54,3.32,7.22,0.67
Gulf Healthmarket,2022-08-31,962113,207366,754747,78.45,268041,170915,315790,49314,69474,197001,4965529,1974070,2991459,6.59,3.97,6.25,0.66
Gulf Healthmarket,2022-09-30,922689,203730,718959,77.92,286077,186204,246677,50396,54268,142011,4998805,2000703,2998101,4.74,2.84,8.11,0.67
Gulf Healthmarket,2022-10-31,883299,191320,691979,78.34,255394,182285,254299,48370,55945,149983,4982783,1965657,3017125,4.97,3.01,7.73,0.65
Gulf Healthmarket,2022-11-30,934001,203164,730837,78.25,273085,204762,252988,50114,55657,147216,4994092,1964054,3030038,4.86,2.95,7.76,0.65
Gulf Healthmarket,2022-12-31,962061,207147,754913,78.47,286269,187653,280991,50603,61818,168569,4978141,2016420,2961720,5.69,3.39,7.18,0.68
Gulf Healthmarket,2023-01-31,874616,189549,685066,78.33,241212,161691,282163,47722,62075,172364,4938280,1972709,2965570,5.81,3.49,6.99,0.67
Gulf Healthmarket,2023-02-28,951093,208256,742837,78.1,260621,197480,284734,48331,62641,173762,4963174,2018466,2944708,5.9,3.5,7.09,0.69
Gulf Healthmarket,2023-03-31,976638,217389,759248,77.74,289248,193122,276877,48564,60913,167400,4964647,1992732,2971915,5.63,3.37,7.2,0.67
Gulf Healthmarket,2023-04-30,929857,199399,730457,78.56,278115,174594,277747,46940,61104,169702,4956405,1986703,2969702,5.71,3.42,7.15,0.67
Gulf Healthmarket,2023-05-31,995157,212078,783079,78.69,302198,190288,290593,50023,63930,176639,4974013,2013001,2961011,5.97,3.55,6.93,0.68
Gulf Healthmarket,2023-06-30,961479,211508,749970,78.0,283480,218290,248200,48569,54604,145026,4963715,1994666,2969049,4.88,2.92,8.04,0.67
Gulf Healthmarket,2023-07-31,882238,191727,690510,78.27,235500,191760,263249,49952,57914,155382,5044569,1997011,3047557,5.1,3.08,7.59,0.66
Gulf Healthmarket,2023-08-31,924780,201528,723251,78.21,263814,161323,298113,48345,65585,184183,4977084,1989021,2988062,6.16,3.7,6.67,0.67
Gulf Healthmarket,2023-09-30,977359,217334,760024,77.76,282686,189027,288310,49993,63428,174888,4990965,1977714,3013251,5.8,3.5,6.86,0.66
Gulf Healthmarket,2023-10-31,946563,203029,743534,78.55,268615,195318,279600,50118,61511,167969,4960304,2008054,2952249,5.69,3.39,7.18,0.68
Gulf Healthmarket,2023-11-30,986964,212428,774536,78.48,280936,187642,305957,49059,67310,189587,4994403,1970399,3024004,6.27,3.8,6.44,0.65
Gulf Healthmarket,2023-12-31,948478,203659,744819,78.53,265247,192956,286614,49016,63055,174543,4989451,1991725,2997725,5.82,3.5,6.95,0.66
Gulf Healthmarket,2024-01-31,949811,207129,742681,78.19,274695,170622,297364,46496,65420,185447,5025221,1969579,3055642,6.07,3.69,6.62,0.64
Gulf Healthmarket,2024-02-29,921115,204152,716962,77.84,261333,181302,274327,48994,60352,164980,4998119,2027455,2970664,5.55,3.3,7.39,0.68
Gulf Healthmarket,2024-03-31,946570,206681,739889,78.17,261025,198482,280380,49286,61683,169409,5011193,2005732,3005461,5.64,3.38,7.15,0.67
Gulf Healthmarket,2024-04-30,1052308,228896,823411,78.25,298115,208990,316304,48766,69586,197950,5016276,2007369,3008906,6.58,3.95,6.35,0.67
Gulf Healthmarket,2024-05-31,983358,208588,774769,78.79,284410,199410,290949,50045,64008,176894,5006346,1998256,3008090,5.88,3.53,6.87,0.66
Gulf Healthmarket,2024-06-30,912472,198833,713639,78.21,275487,195072,243079,49176,53477,140425,4975618,1958588,3017029,4.65,2.82,8.06,0.65
Gulf Healthmarket,2024-07-31,945377,206961,738415,78.11,282608,198205,257601,47228,56672,153701,4973195,1995855,2977340,5.16,3.09,7.75,0.67
Gulf Healthmarket,2024-08-31,935541,201185,734355,78.5,294669,195588,244098,48447,53701,141948,4944323,1939721,3004602,4.72,2.87,7.95,0.65
Gulf Healthmarket,2024-09-30,955276,211452,743823,77.86,281041,187861,274920,49139,60482,165298,4972981,1961860,3011121,5.49,3.32,7.14,0.65
Gulf Healthmarket,2024-10-31,905831,197720,708110,78.17,239067,167952,301090,49166,66239,185684,4974134,1977084,2997049,6.2,3.73,6.57,0.66
Gulf Healthmarket,2024-11-30,924062,197655,726407,78.61,277362,184937,264106,48531,58103,157471,4984465,1992866,2991599,5.26,3.16,7.54,0.67
Gulf Healthmarket,2024-12-31,940516,206198,734318,78.08,288531,174244,271542,49242,59739,162561,4997068,1993041,3004026,5.41,3.25,7.34,0.66
German Infohealth,2022-01-31,590371,94457,495914,84.0,184315,68163,243434,15844,53555,174034,3155464,874761,2280702,7.63,5.52,3.59,0.38
German Infohealth,2022-02-28,540282,87915,452367,83.73,185751,67542,199072,16428,43796,138848,3135130,873193,2261937,6.14,4.43,4.39,0.39
German Infohealth,2022-03-31,635461,104230,531231,83.6,225708,69983,235539,16559,51818,167161,3113140,863442,2249697,7.43,5.37,3.67,0.38
German Infohealth,2022-04-30,570857,93431,477426,83.63,177600,64961,234864,15966,51670,167227,3171795,882470,2289325,7.3,5.27,3.76,0.39
German Infohealth,2022-05-31,557115,90629,466486,83.73,185849,58703,221932,15988,48824,157118,3136290,868595,2267694,6.93,5.01,3.91,0.38
German Infohealth,2022-06-30,604181,97360,506821,83.89,202299,66655,237866,16113,52330,169422,3146477,871862,2274614,7.45,5.38,3.67,0.38
German Infohealth,2022-07-31,645250,105755,539495,83.61,206608,69530,263356,16298,57938,189119,3130731,867587,2263144,8.36,6.04,3.29,0.38
German Infohealth,2022-08-31,684421,114769,569652,83.23,227824,77943,263883,15922,58054,189906,3120133,873025,2247107,8.45,6.09,3.31,0.39
German Infohealth,2022-09-30,674867,111624,563242,83.46,236037,77270,249935,16064,54985,178885,3137810,873950,2263860,7.9,5.7,3.5,0.39
German Infohealth,2022-10-31,582885,95810,487075,83.56,202168,64658,220247,15214,48454,156579,3124620,869000,2255619,6.94,5.01,3.95,0.39
German Infohealth,2022-11-30,611268,101093,510174,83.46,225737,70822,213615,15579,46995,151040,3124593,870157,2254435,6.7,4.83,4.07,0.39
German Infohealth,2022-12-31,625464,102530,522933,83.61,200298,64835,257799,16242,56715,184840,3131249,874048,2257201,8.19,5.9,3.39,0.39
German Infohealth,2023-01-31,628810,102432,526377,83.71,200199,67077,259100,16678,57002,185419,3137020,895685,2241334,8.27,5.91,3.46,0.4
German Infohealth,2023-02-28,605763,100981,504781,83.33,207910,67514,229355,15965,50458,162932,3163961,877368,2286592,7.13,5.15,3.82,0.38
German Infohealth,2023-03-31,617037,99190,517846,83.92,201366,71022,245458,15942,54000,175514,3152840,884311,2268528,7.74,5.57,3.6,0.39
German Infohealth,2023-04-30,608082,100912,507169,83.4,208915,63924,234330,16686,51552,166091,3165890,874550,2291340,7.25,5.25,3.73,0.38
German Infohealth,2023-05-31,630658,104247,526411,83.47,207321,70443,248646,16790,54702,177153,3139779,877517,2262261,7.83,5.64,3.53,0.39
German Infohealth,2023-06-30,557936,88914,469022,84.06,183345,60403,225274,15310,49560,160403,3133343,873238,2260105,7.1,5.12,3.88,0.39
German Infohealth,2023-07-31,608282,98755,509527,83.76,198254,65667,245604,16852,54033,174719,3139019,879408,2259611,7.73,5.57,3.58,0.39
German Infohealth,2023-08-31,569414,92508,476906,83.75,181718,65248,229939,16678,50586,162673,3141553,875278,2266275,7.18,5.18,3.81,0.39
German Infohealth,2023-09-30,561680,92322,469358,83.56,182652,62292,224414,16468,49371,158574,3145407,876829,2268577,6.99,5.04,3.91,0.39
German Infohealth,2023-10-31,611520,97475,514045,84.06,194788,72862,246394,16258,54206,175929,3179133,882853,2296280,7.66,5.53,3.58,0.38
German Infohealth,2023-11-30,588418,96586,491832,83.59,189085,69710,233036,16623,51267,165145,3178158,888312,2289845,7.21,5.2,3.81,0.39
German Infohealth,2023-12-31,627824,100784,527039,83.95,205559,70796,250683,17338,55150,178194,3169414,877937,2291476,7.78,5.62,3.5,0.38
German Infohealth,2024-01-31,590375,95671,494704,83.79,200306,63373,231025,15680,50825,164518,3145100,866832,2278267,7.22,5.23,3.75,0.38
German Infohealth,2024-02-29,602369,97267,505101,83.85,204462,57786,242853,16567,53427,172858,3151574,891486,2260088,7.65,5.48,3.67,0.39
German Infohealth,2024-03-31,580517,96763,483754,83.33,192348,66653,224753,15913,49445,159394,3184762,891159,2293602,6.95,5.0,3.96,0.39
German Infohealth,2024-04-30,605193,98523,506670,83.72,200563,78789,227317,16234,50009,161072,3141132,878903,2262229,7.12,5.13,3.87,0.39
German Infohealth,2024-05-31,575938,94262,481676,83.63,197940,67763,215971,16471,47513,151986,3162473,881007,2281466,6.66,4.81,4.08,0.39
German Infohealth,2024-06-30,602100,97820,504280,83.75,185445,64497,254337,16124,55954,182258,3135907,867236,2268671,8.03,5.81,3.41,0.38
German Infohealth,2024-07-31,596217,96815,499401,83.76,188091,65062,246247,15815,54174,176257,3138589,872837,2265752,7.78,5.62,3.54,0.39
German Infohealth,2024-08-31,604523,97336,507187,83.9,202396,65603,239187,16151,52621,170414,3161153,877275,2283877,7.46,5.39,3.67,0.38
German Infohealth,2024-09-30,563103,92017,471085,83.66,188913,65093,217078,16621,47757,152699,3134322,878355,2255967,6.77,4.87,4.05,0.39
German Infohealth,2024-10-31,605611,98365,507245,83.76,198542,65660,243042,15676,53469,173897,3125360,871594,2253766,7.72,5.56,3.59,0.39
German Infohealth,2024-11-30,554109,88545,465563,84.02,173937,63721,227905,15212,50139,162554,3129967,854783,2275183,7.14,5.19,3.75,0.38
German Infohealth,2024-12-31,628416,104733,523682,83.33,209173,76096,238412,15777,52450,170184,3157511,865798,2291713,7.43,5.39,3.63,0.38
(ltd.) Move Motors,2022-01-31,1976535,1297350,679184,34.36,461324,9594,208265,119475,45818,42971,10443043,5403136,5039907,0.85,0.41,25.94,1.07
(ltd.) Move Motors,2022-02-28,1952959,1278023,674935,34.56,447670,10375,216889,114972,47715,54201,10364900,5304300,5060599,1.07,0.52,24.45,1.05
(ltd.) Move Motors,2022-03-31,1957779,1286408,671371,34.29,433899,9644,227827,123632,50122,54072,10533249,5437948,5095300,1.06,0.51,23.87,1.07
(ltd.) Move Motors,2022-04-30,1987610,1321520,666090,33.51,440204,10325,215561,122336,47423,45800,10438102,5415839,5022262,0.91,0.44,25.12,1.08
(ltd.) Move Motors,2022-05-31,1963125,1271779,691346,35.22,452777,9930,228638,119710,50300,58627,10404546,5454629,4949917,1.18,0.56,23.85,1.1
(ltd.) Move Motors,2022-06-30,1992366,1269343,723022,36.29,419074,9958,293990,119553,64677,109758,10475069,5397077,5077992,2.16,1.05,18.36,1.06
(ltd.) Move Motors,2022-07-31,2156854,1393344,763509,35.4,500957,9220,253332,128330,55733,69268,10348466,5368474,4979992,1.39,0.67,21.19,1.08
(ltd.) Move Motors,2022-08-31,1957143,1284995,672147,34.34,449580,11025,211541,125347,46539,39655,10435728,5447046,4988682,0.79,0.38,25.75,1.09
(ltd.) Move Motors,2022-09-30,2156032,1431326,724706,33.61,489011,10697,224996,118762,49499,56734,10476311,5380079,5096231,1.11,0.54,23.91,1.06
(ltd.) Move Motors,2022-10-31,2153178,1415850,737328,34.24,526719,10482,200126,126464,44027,29633,10453536,5380315,5073221,0.58,0.28,26.88,1.06
(ltd.) Move Motors,2022-11-30,1958876,1296159,662716,33.83,444562,10059,208094,121835,45780,40478,10473057,5411472,5061585,0.8,0.39,26.0,1.07
(ltd.) Move Motors,2022-12-31,1915576,1247553,668022,34.87,429004,8911,230105,124132,50623,55349,10450315,5398582,5051732,1.1,0.53,23.46,1.07
(ltd.) Move Motors,2023-01-31,2126825,1400137,726688,34.17,469158,10682,246846,122820,54306,69720,10492882,5473202,5019679,1.39,0.66,22.17,1.09
(ltd.) Move Motors,2023-02-28,2062598,1344268,718329,34.83,466187,10501,241641,122245,53161,66234,10487661,5441062,5046598,1.31,0.63,22.52,1.08
(ltd.) Move Motors,2023-03-31,2044020,1337682,706337,34.56,493774,10938,201625,120366,44357,36900,10414822,5373045,5041777,0.73,0.35,26.65,1.07
(ltd.) Move Motors,2023-04-30,1981291,1314208,667083,33.67,477741,9692,179649,128524,39522,11601,10464775,5471060,4993715,0.23,0.11,30.45,1.1
(ltd.) Move Motors,2023-05-31,1942861,1280316,662545,34.1,463310,8920,190314,119649,41869,28796,10463452,5381355,5082096,0.57,0.28,28.27,1.06
(ltd.) Move Motors,2023-06-30,1959945,1263063,696882,35.56,452818,9731,234331,123614,51552,59164,10365521,5433527,4931993,1.2,0.57,23.18,1.1
(ltd.) Move Motors,2023-07-31,2116143,1391008,725135,34.27,474653,10876,239606,122675,52713,64217,10471905,5434526,5037379,1.27,0.61,22.68,1.08
(ltd.) Move Motors,2023-08-31,2069854,1347776,722078,34.89,483665,9495,228917,122078,50361,56477,10407246,5352305,5054941,1.12,0.54,23.38,1.06
(ltd.) Move Motors,2023-09-30,1985523,1316696,668827,33.69,470684,10138,188004,118113,41360,28530,10377338,5387131,4990207,0.57,0.27,28.65,1.08
(ltd.) Move Motors,2023-10-31,2053316,1320408,732908,35.69,454391,10247,268268,118826,59019,90422,10496255,5406402,5089852,1.78,0.86,20.15,1.06
(ltd.) Move Motors,2023-11-30,2025979,1302758,723220,35.7,460341,10909,251970,124738,55433,71798,10421105,5395092,5026013,1.43,0.69,21.41,1.07
(ltd.) Move Motors,2023-12-31,2057640,1354218,703422,34.19,471726,10597,221098,123305,48641,49151,10437608,5454374,4983234,0.99,0.47,24.67,1.09
(ltd.) Move Motors,2024-01-31,2153032,1415352,737679,34.26,483682,10203,243793,123350,53634,66808,10466402,5443597,5022805,1.33,0.64,22.33,1.08
(ltd.) Move Motors,2024-02-29,1931276,1260840,670435,34.71,461797,8807,199830,122710,43962,33157,10461301,5374877,5086424,0.65,0.32,26.9,1.06
(ltd.) Move Motors,2024-03-31,2046736,1351324,695412,33.98,461301,9445,224665,122461,49426,52777,10398985,5388693,5010291,1.05,0.51,23.98,1.08
(ltd.) Move Motors,2024-04-30,2002086,1278063,724023,36.16,450654,11632,261736,121744,57581,82410,10348173,5440359,4907813,1.68,0.8,20.78,1.11
(ltd.) Move Motors,2024-05-31,2012608,1325070,687537,34.16,484517,9987,193033,123993,42467,26572,10375535,5422782,4952752,0.54,0.26,28.09,1.09
(ltd.) Move Motors,2024-06-30,2052585,1344802,707783,34.48,487579,11890,208312,123754,45828,38729,10414787,5422178,4992608,0.78,0.37,26.03,1.09
(ltd.) Move Motors,2024-07-31,1955221,1277731,677489,34.65,449215,9473,218800,116478,48136,54185,10429470,5403855,5025614,1.08,0.52,24.69,1.08
(ltd.) Move Motors,2024-08-31,2021748,1303827,717921,35.51,438216,11020,268683,118570,59110,91002,10482461,5387572,5094888,1.79,0.87,20.05,1.06
(ltd.) Move Motors,2024-09-30,1982837,1311378,671459,33.86,469480,10682,191296,119548,42085,29663,10356807,5345434,5011373,0.59,0.29,27.94,1.07
(ltd.) Move Motors,2024-10-31,1976026,1285904,690121,34.92,455036,10124,224959,125525,49491,49942,10540502,5573500,4967002,1.01,0.47,24.78,1.12
(ltd.) Move Motors,2024-11-30,1955948,1287665,668282,34.17,441942,10017,216322,116332,47591,52398,10433267,5307007,5126260,1.02,0.5,24.53,1.04
(ltd.) Move Motors,2024-12-31,1944499,1271470,673028,34.61,458583,9795,204648,122776,45022,36850,10441255,5329163,5112091,0.72,0.35,26.04,1.04
British Marketholding,2022-01-31,1860201,1196932,663268,35.66,497796,17769,147703,95018,32494,20190,9534039,4144663,5389375,0.37,0.21,28.06,0.77
British Marketholding,2022-02-28,1818955,1176205,642749,35.34,504304,18324,120120,88533,26426,5160,9560197,4247288,5312909,0.1,0.05,35.36,0.8
British Marketholding,2022-03-31,1956374,1265798,690575,35.3,519425,19844,151305,97608,33287,20409,9611322,4226845,5384477,0.38,0.21,27.93,0.79
British Marketholding,2022-04-30,1837559,1214892,622667,33.89,479135,18774,124757,90372,27446,6938,9621699,4148804,5472895,0.13,0.07,33.25,0.76
British Marketholding,2022-05-31,1854094,1209729,644365,34.75,497874,18479,128011,97171,28162,2677,9608239,4246969,5361269,0.05,0.03,33.17,0.79
British Marketholding,2022-06-30,1775174,1158949,616225,34.71,485075,17694,113455,91556,24960,-3061,9675549,4194797,5480752,-0.06,-0.03,36.97,0.77
British Marketholding,2022-07-31,1896873,1254468,642405,33.87,489859,18541,134003,92965,29480,11557,9622912,4173146,5449766,0.21,0.12,31.14,0.77
British Marketholding,2022-08-31,1777666,1165192,612473,34.45,502897,17518,92058,96409,20252,-24603,9702363,4276865,5425498,-0.45,-0.25,46.45,0.79
British Marketholding,2022-09-30,1779510,1177505,602004,33.83,467052,16921,118030,92724,25966,-660,9594144,4168663,5425481,-0.01,-0.01,35.31,0.77
British Marketholding,2022-10-31,1881030,1261747,619283,32.92,516400,18988,83893,92327,18456,-26889,9623076,4185026,5438049,-0.49,-0.28,49.88,0.77
British Marketholding,2022-11-30,1839279,1234054,605225,32.91,504865,18233,82126,96328,18067,-32270,9684102,4258651,5425450,-0.59,-0.33,51.85,0.78
British Marketholding,2022-12-31,1829853,1187558,642294,35.1,461781,18874,161639,91739,35560,34339,9563088,4198851,5364237,0.64,0.36,25.97,0.78
British Marketholding,2023-01-31,1900871,1234916,665954,35.03,521976,19379,124598,96566,27411,620,9640373,4278462,5361911,0.01,0.01,34.33,0.8
British Marketholding,2023-02-28,1915945,1274679,641265,33.47,503537,19132,118596,93915,26091,-1410,9601300,4183687,5417613,-0.03,-0.01,35.28,0.77
British Marketholding,2023-03-31,1815856,1193850,622006,34.25,473061,19916,129028,90938,28386,9703,9572615,4162811,5409803,0.18,0.1,32.26,0.77
British Marketholding,2023-04-30,1901437,1244344,657092,34.56,541099,18939,97053,95808,21351,-20107,9648717,4261393,5387323,-0.37,-0.21,43.9,0.79
British Marketholding,2023-05-31,1882494,1253696,628798,33.4,494081,19319,115398,93003,25387,-2992,9609849,4266895,5342954,-0.06,-0.03,36.98,0.8
British Marketholding,2023-06-30,1821062,1211763,609298,33.46,474922,19483,114892,94363,25276,-4747,9650441,4199305,5451136,-0.09,-0.05,36.55,0.77
British Marketholding,2023-07-31,1917996,1249987,668008,34.83,498434,19484,150090,97636,33019,19434,9637889,4239817,5398071,0.36,0.2,28.25,0.79
British Marketholding,2023-08-31,1784601,1167412,617188,34.58,492853,16654,107680,93046,23689,-9054,9599134,4214484,5384649,-0.17,-0.09,39.13,0.78
British Marketholding,2023-09-30,1917340,1226349,690991,36.04,537098,18288,135603,98007,29832,7763,9656786,4229203,5427583,0.14,0.08,31.19,0.78
British Marketholding,2023-10-31,1782516,1169464,613052,34.39,492315,18955,101780,94624,22391,-15236,9573092,4177498,5395593,-0.28,-0.16,41.04,0.77
British Marketholding,2023-11-30,1965774,1302559,663214,33.74,528374,20264,114575,93281,25206,-3912,9646672,4209408,5437263,-0.07,-0.04,36.74,0.77
British Marketholding,2023-12-31,1963699,1294829,668870,34.06,529299,19865,119705,93792,26335,-421,9626791,4197367,5429424,-0.01,-0.0,35.06,0.77
British Marketholding,2024-01-31,1989275,1315816,673458,33.85,566436,19296,87725,90849,19299,-22423,9635455,4172594,5462861,-0.41,-0.23,47.56,0.76
British Marketholding,2024-02-29,1824802,1188941,635860,34.85,512279,18393,105187,97021,23141,-14975,9644953,4224930,5420022,-0.28,-0.16,40.16,0.78
British Marketholding,2024-03-31,1846575,1240310,606264,32.83,481868,17740,106655,97275,23464,-14084,9622052,4288335,5333717,-0.26,-0.15,40.2,0.8
British Marketholding,2024-04-30,1849636,1216750,632885,34.22,505797,18335,108752,95348,23925,-10521,9688744,4263810,5424933,-0.19,-0.11,39.2,0.79
British Marketholding,2024-05-31,1749491,1139157,610334,34.89,447909,17516,144908,90621,31879,22407,9656291,4264156,5392134,0.42,0.23,29.42,0.79
British Marketholding,2024-06-30,1819545,1185243,634302,34.86,483072,18330,132899,95686,29237,7975,9678080,4214419,5463661,0.15,0.08,31.71,0.77
British Marketholding,2024-07-31,1862659,1244752,617907,33.17,498643,19423,99840,96565,21965,-18690,9672420,4267597,5404823,-0.35,-0.19,42.75,0.79
British Marketholding,2024-08-31,1807826,1178294,629531,34.82,455881,19524,154126,99634,33907,20583,9646395,4262421,5383973,0.38,0.21,27.65,0.79
British Marketholding,2024-09-30,1913171,1230705,682466,35.67,513064,21447,147954,92157,32550,23247,9579461,4155337,5424123,0.43,0.24,28.08,0.77
British Marketholding,2024-10-31,1893086,1187328,705757,37.28,510161,20305,175289,92444,38563,44281,9589035,4174584,5414450,0.82,0.46,23.81,0.77
British Marketholding,2024-11-30,1881710,1231812,649897,34.54,498683,19292,131921,92411,29022,10487,9661939,4220155,5441784,0.19,0.11,31.99,0.78
